#K-Path      Energy-Level
# NKPTS & NBANDS: 600  24
# Band-Index    1
   1.83647    -11.707811
   1.84713    -11.733486
   1.85780    -11.758477
   1.86846    -11.782775
   1.87913    -11.806397
   1.88979    -11.829314
   1.90045    -11.851532
   1.91112    -11.873046
   1.92178    -11.893857
   1.93245    -11.913961
   1.94311    -11.933354
   1.95378    -11.952034
   1.96444    -11.969998
   1.97510    -11.987245
   1.98577    -12.003772
   1.99643    -12.019577
   2.00710    -12.034658
   2.01776    -12.049015
   2.02842    -12.062648
   2.03909    -12.075555
   2.04975    -12.087731
   2.06042    -12.099176
   2.07108    -12.109889
   2.08174    -12.119867
   2.09241    -12.129110
   2.10307    -12.137617
   2.11374    -12.145386
   2.12440    -12.152418
   2.13506    -12.158711
   2.14573    -12.164263
   2.15639    -12.169077
   2.16706    -12.173151
   2.17772    -12.176483
   2.18839    -12.179074
   2.19905    -12.180924
   2.20971    -12.182033
   2.22038    -12.182401
   2.22038    -12.182401
   2.23043    -12.182074
   2.24049    -12.181089
   2.25054    -12.179444
   2.26059    -12.177141
   2.27065    -12.174179
   2.28070    -12.170560
   2.29076    -12.166282
   2.30081    -12.161346
   2.31087    -12.155753
   2.32092    -12.149503
   2.33097    -12.142597
   2.34103    -12.135037
   2.35108    -12.126822
   2.36114    -12.117954
   2.37119    -12.108434
   2.38125    -12.098263
   2.39130    -12.087442
   2.40135    -12.075973
   2.41141    -12.063856
   2.42146    -12.051096
   2.43152    -12.037696
   2.44157    -12.023654
   2.45163    -12.008971
   2.46168    -11.993649
   2.47173    -11.977691
   2.48179    -11.961099
   2.49184    -11.943874
   2.50190    -11.926020
   2.51195    -11.907538
   2.52200    -11.888432
   2.53206    -11.868704
   2.54211    -11.848366
   2.55217    -11.827405
   2.56222    -11.805833
   2.57228    -11.783643
   2.58233    -11.760858
   2.59238    -11.737472
   2.60244    -11.713492
   2.61249    -11.688920
   2.62255    -11.663765
   2.63260    -11.638021
   2.64266    -11.611714
   2.65271    -11.584837
   2.66276    -11.557396
   2.67282    -11.529399
   2.68287    -11.500854
   2.69293    -11.471765
   2.70298    -11.442142
   2.71303    -11.411972
   2.72309    -11.381306
   2.73314    -11.350133
   2.74320    -11.318463
   2.75325    -11.286307
   2.76331    -11.253678
   2.77336    -11.220586
   2.78341    -11.187047
   2.79347    -11.153075
   2.80352    -11.118685
   2.81358    -11.083894
   2.82363    -11.048725
   2.83369    -11.013115
   2.84374    -10.977242
   2.85379    -10.941048
   2.86385    -10.904558
   2.87390    -10.867799
   2.88396    -10.830799
   2.89401    -10.793589
   2.90407    -10.756202
   2.91412    -10.718675
   2.92417    -10.681046
   2.93423    -10.643359
   2.94428    -10.605659
   2.95434    -10.568007
   2.96439    -10.530439
   2.97444    -10.493023
   2.98450    -10.455824
   2.99455    -10.418911
   3.00461    -10.382362
   3.01466    -10.346278
   3.02472    -10.310716
   3.03477    -10.275783
   3.04482    -10.241594
   3.05488    -10.208244
   3.06493    -10.175860
   3.07499    -10.144567
   3.08504    -10.114499
   3.09510    -10.085755
   3.10515    -10.058566
   3.11520    -10.033039
   3.12526    -10.009329
   3.13531     -9.987589
   3.14537     -9.967970
   3.15542     -9.950644
   3.16547     -9.935698
   3.17553     -9.923282
   3.18558     -9.913504
   3.19564     -9.906452
   3.20569     -9.902192
   3.21575     -9.900767
   3.21575     -9.900767
   3.21985     -9.900907
   3.22396     -9.901328
   3.22806     -9.902027
   3.23216     -9.903006
   3.23627     -9.904261
   3.24037     -9.905792
   3.24448     -9.907597
   3.24858     -9.909674
   3.25269     -9.912020
   3.25679     -9.914633
   3.26090     -9.917509
   3.26500     -9.920645
   3.26911     -9.924039
   3.27321     -9.927685
   3.27732     -9.931572
   3.28142     -9.935713
   3.28552     -9.940094
   3.28963     -9.944711
   3.29373     -9.949559
   3.29784     -9.954633
   3.30194     -9.959929
   3.30605     -9.965452
   3.31015     -9.971174
   3.31426     -9.977086
   3.31836     -9.983214
   3.32247     -9.989536
   3.32657     -9.996047
   3.33068    -10.002741
   3.33478    -10.009612
   3.33888    -10.016656
   3.34299    -10.023865
   3.34709    -10.031235
   3.35120    -10.038759
   3.35530    -10.046432
   3.35941    -10.054249
   3.36351    -10.062204
   3.36762    -10.070291
   3.37172    -10.078506
   3.37583    -10.086841
   3.37993    -10.095293
   3.38404    -10.103856
   3.38814    -10.112524
   3.39224    -10.121293
   3.39635    -10.130157
   3.40045    -10.139112
   3.40456    -10.148152
   3.40866    -10.157273
   3.41277    -10.166486
   3.41687    -10.175755
   3.42098    -10.185091
   3.42508    -10.194486
   3.42919    -10.203943
   3.43329    -10.213449
   3.43740    -10.223010
   3.44150    -10.232616
   3.44560    -10.242264
   3.44971    -10.251951
   3.45381    -10.261672
   3.45792    -10.271423
   3.46202    -10.281202
   3.46613    -10.291004
   3.47023    -10.300804
   3.47434    -10.310643
   3.47844    -10.320496
   3.48255    -10.330359
   3.48665    -10.340231
   3.49076    -10.350106
   3.49486    -10.359983
   3.49896    -10.369858
   3.50307    -10.379729
   3.50717    -10.389593
   3.51128    -10.399448
   3.51538    -10.409290
   3.51949    -10.419117
   3.52359    -10.428928
   3.52770    -10.438719
   3.53180    -10.448488
   3.53591    -10.458233
   3.54001    -10.467952
   3.54412    -10.477643
   3.54822    -10.487304
   3.55232    -10.496932
   3.55643    -10.506526
   3.56053    -10.516103
   3.56464    -10.525623
   3.56874    -10.535104
   3.57285    -10.544543
   3.57695    -10.553939
   3.58106    -10.563290
   3.58516    -10.572595
   3.58927    -10.581852
   3.59337    -10.591059
   3.59748    -10.600216
   3.60158    -10.609320
   3.60568    -10.618371
   3.60979    -10.627397
   3.61389    -10.636336
   3.61800    -10.645218
   3.62210    -10.654040
   3.62210    -10.654040
   3.62621    -10.653989
   3.63031    -10.653836
   3.63442    -10.653581
   3.63852    -10.653224
   3.64263    -10.652763
   3.64673    -10.652200
   3.65084    -10.651525
   3.65494    -10.650760
   3.65904    -10.649894
   3.66315    -10.648925
   3.66725    -10.647851
   3.67136    -10.646679
   3.67546    -10.645405
   3.67957    -10.644030
   3.68367    -10.642553
   3.68778    -10.640974
   3.69188    -10.639294
   3.69599    -10.637513
   3.70009    -10.635631
   3.70420    -10.633635
   3.70830    -10.631550
   3.71241    -10.629365
   3.71651    -10.627078
   3.72061    -10.624687
   3.72472    -10.622199
   3.72882    -10.619610
   3.73293    -10.616921
   3.73703    -10.614131
   3.74114    -10.611242
   3.74524    -10.608240
   3.74935    -10.605150
   3.75345    -10.601961
   3.75756    -10.598672
   3.76166    -10.595283
   3.76577    -10.591795
   3.76987    -10.588214
   3.77397    -10.584529
   3.77808    -10.580744
   3.78218    -10.576861
   3.78629    -10.572880
   3.79039    -10.568812
   3.79450    -10.564635
   3.79860    -10.560360
   3.80271    -10.555987
   3.80681    -10.551518
   3.81092    -10.546954
   3.81502    -10.542291
   3.81913    -10.537531
   3.82323    -10.532675
   3.82733    -10.527723
   3.83144    -10.522676
   3.83554    -10.517533
   3.83965    -10.512295
   3.84375    -10.506963
   3.84786    -10.501536
   3.85196    -10.496015
   3.85607    -10.490401
   3.86017    -10.484693
   3.86428    -10.478891
   3.86838    -10.472997
   3.87249    -10.467011
   3.87659    -10.460933
   3.88069    -10.454759
   3.88480    -10.448498
   3.88890    -10.442146
   3.89301    -10.435704
   3.89711    -10.429172
   3.90122    -10.422550
   3.90532    -10.415839
   3.90943    -10.409040
   3.91353    -10.402144
   3.91764    -10.395170
   3.92174    -10.388108
   3.92585    -10.380960
   3.92995    -10.373726
   3.93405    -10.366407
   3.93816    -10.359003
   3.94226    -10.351514
   3.94637    -10.343943
   3.95047    -10.336288
   3.95458    -10.328551
   3.95868    -10.320723
   3.96279    -10.312823
   3.96689    -10.304843
   3.97100    -10.296784
   3.97510    -10.288645
   3.97921    -10.280429
   3.98331    -10.272135
   3.98741    -10.263767
   3.99152    -10.255322
   3.99562    -10.246802
   3.99973    -10.238209
   4.00383    -10.229542
   4.00794    -10.220804
   4.01204    -10.211997
   4.01615    -10.203117
   4.02025    -10.194170
   4.02436    -10.185153
   4.02846    -10.176068
 
 
# Band-Index    2
   4.02846    -10.176068
   4.02436    -10.185152
   4.02025    -10.194169
   4.01615    -10.203116
   4.01204    -10.211996
   4.00794    -10.220803
   4.00383    -10.229542
   3.99973    -10.238208
   3.99562    -10.246802
   3.99152    -10.255321
   3.98741    -10.263766
   3.98331    -10.272135
   3.97921    -10.280429
   3.97510    -10.288645
   3.97100    -10.296783
   3.96689    -10.304843
   3.96279    -10.312823
   3.95868    -10.320722
   3.95458    -10.328550
   3.95047    -10.336287
   3.94637    -10.343942
   3.94226    -10.351514
   3.93816    -10.359003
   3.93405    -10.366406
   3.92995    -10.373726
   3.92585    -10.380960
   3.92174    -10.388108
   3.91764    -10.395169
   3.91353    -10.402144
   3.90943    -10.409040
   3.90532    -10.415839
   3.90122    -10.422550
   3.89711    -10.429171
   3.89301    -10.435703
   3.88890    -10.442145
   3.88480    -10.448497
   3.88069    -10.454758
   3.87659    -10.460932
   3.87249    -10.467011
   3.86838    -10.472997
   3.86428    -10.478891
   3.86017    -10.484692
   3.85607    -10.490400
   3.85196    -10.496014
   3.84786    -10.501535
   3.84375    -10.506962
   3.83965    -10.512295
   3.83554    -10.517533
   3.83144    -10.522675
   3.82733    -10.527723
   3.82323    -10.532675
   3.81913    -10.537531
   3.81502    -10.542290
   3.81092    -10.546954
   3.80681    -10.551517
   3.80271    -10.555987
   3.79860    -10.560359
   3.79450    -10.564634
   3.79039    -10.568811
   3.78629    -10.572880
   3.78218    -10.576861
   3.77808    -10.580744
   3.77397    -10.584528
   3.76987    -10.588214
   3.76577    -10.591795
   3.76166    -10.595283
   3.75756    -10.598671
   3.75345    -10.601960
   3.74935    -10.605150
   3.74524    -10.608240
   3.74114    -10.611241
   3.73703    -10.614131
   3.73293    -10.616921
   3.72882    -10.619610
   3.72472    -10.622199
   3.72061    -10.624687
   3.71651    -10.627077
   3.71241    -10.629364
   3.70830    -10.631550
   3.70420    -10.633635
   3.70009    -10.635630
   3.69599    -10.637513
   3.69188    -10.639294
   3.68778    -10.640974
   3.68367    -10.642552
   3.67957    -10.644029
   3.67546    -10.645405
   3.67136    -10.646678
   3.66725    -10.647850
   3.66315    -10.648925
   3.65904    -10.649893
   3.65494    -10.650760
   3.65084    -10.651525
   3.64673    -10.652200
   3.64263    -10.652762
   3.63852    -10.653223
   3.63442    -10.653580
   3.63031    -10.653835
   3.62621    -10.653989
   3.62210    -10.654040
   3.62210    -10.654040
   3.61800    -10.645217
   3.61389    -10.636336
   3.60979    -10.627397
   3.60568    -10.618370
   3.60158    -10.609320
   3.59748    -10.600216
   3.59337    -10.591059
   3.58927    -10.581851
   3.58516    -10.572595
   3.58106    -10.563290
   3.57695    -10.553939
   3.57285    -10.544543
   3.56874    -10.535104
   3.56464    -10.525623
   3.56053    -10.516103
   3.55643    -10.506526
   3.55232    -10.496932
   3.54822    -10.487303
   3.54412    -10.477643
   3.54001    -10.467952
   3.53591    -10.458233
   3.53180    -10.448488
   3.52770    -10.438718
   3.52359    -10.428927
   3.51949    -10.419117
   3.51538    -10.409290
   3.51128    -10.399447
   3.50717    -10.389593
   3.50307    -10.379729
   3.49896    -10.369858
   3.49486    -10.359983
   3.49076    -10.350106
   3.48665    -10.340230
   3.48255    -10.330359
   3.47844    -10.320495
   3.47434    -10.310643
   3.47023    -10.300804
   3.46613    -10.291003
   3.46202    -10.281201
   3.45792    -10.271423
   3.45381    -10.261672
   3.44971    -10.251951
   3.44560    -10.242264
   3.44150    -10.232616
   3.43740    -10.223009
   3.43329    -10.213449
   3.42919    -10.203943
   3.42508    -10.194486
   3.42098    -10.185090
   3.41687    -10.175754
   3.41277    -10.166486
   3.40866    -10.157273
   3.40456    -10.148151
   3.40045    -10.139111
   3.39635    -10.130156
   3.39224    -10.121292
   3.38814    -10.112523
   3.38404    -10.103855
   3.37993    -10.095293
   3.37583    -10.086841
   3.37172    -10.078505
   3.36762    -10.070291
   3.36351    -10.062204
   3.35941    -10.054249
   3.35530    -10.046432
   3.35120    -10.038758
   3.34709    -10.031234
   3.34299    -10.023864
   3.33888    -10.016655
   3.33478    -10.009612
   3.33068    -10.002741
   3.32657     -9.996047
   3.32247     -9.989536
   3.31836     -9.983213
   3.31426     -9.977085
   3.31015     -9.971174
   3.30605     -9.965451
   3.30194     -9.959928
   3.29784     -9.954633
   3.29373     -9.949558
   3.28963     -9.944710
   3.28552     -9.940093
   3.28142     -9.935712
   3.27732     -9.931572
   3.27321     -9.927685
   3.26911     -9.924039
   3.26500     -9.920645
   3.26090     -9.917508
   3.25679     -9.914632
   3.25269     -9.912020
   3.24858     -9.909674
   3.24448     -9.907597
   3.24037     -9.905792
   3.23627     -9.904261
   3.23216     -9.903005
   3.22806     -9.902027
   3.22396     -9.901327
   3.21985     -9.900906
   3.21575     -9.900767
   3.21575     -9.900767
   3.20569     -9.900632
   3.19564     -9.900227
   3.18558     -9.899552
   3.17553     -9.898605
   3.16547     -9.897386
   3.15542     -9.895893
   3.14537     -9.894124
   3.13531     -9.892076
   3.12526     -9.889739
   3.11520     -9.887141
   3.10515     -9.884250
   3.09510     -9.881072
   3.08504     -9.877603
   3.07499     -9.873840
   3.06493     -9.869781
   3.05488     -9.865421
   3.04482     -9.860756
   3.03477     -9.855783
   3.02472     -9.850498
   3.01466     -9.844895
   3.00461     -9.838972
   2.99455     -9.832722
   2.98450     -9.826142
   2.97444     -9.819225
   2.96439     -9.811971
   2.95434     -9.804373
   2.94428     -9.796426
   2.93423     -9.788125
   2.92417     -9.779465
   2.91412     -9.770442
   2.90407     -9.761049
   2.89401     -9.751285
   2.88396     -9.741143
   2.87390     -9.730618
   2.86385     -9.719707
   2.85379     -9.708407
   2.84374     -9.696697
   2.83369     -9.684598
   2.82363     -9.672094
   2.81358     -9.659182
   2.80352     -9.645857
   2.79347     -9.632116
   2.78341     -9.617955
   2.77336     -9.603368
   2.76331     -9.588343
   2.75325     -9.572905
   2.74320     -9.557024
   2.73314     -9.540703
   2.72309     -9.523936
   2.71303     -9.506730
   2.70298     -9.489079
   2.69293     -9.470989
   2.68287     -9.452433
   2.67282     -9.433423
   2.66276     -9.413957
   2.65271     -9.394032
   2.64266     -9.373607
   2.63260     -9.352760
   2.62255     -9.331449
   2.61249     -9.309673
   2.60244     -9.287431
   2.59238     -9.264721
   2.58233     -9.241545
   2.57228     -9.217917
   2.56222     -9.193803
   2.55217     -9.169222
   2.54211     -9.144173
   2.53206     -9.118655
   2.52200     -9.092643
   2.51195     -9.066191
   2.50190     -9.039273
   2.49184     -9.011890
   2.48179     -8.984043
   2.47173     -8.955741
   2.46168     -8.926961
   2.45163     -8.897735
   2.44157     -8.868054
   2.43152     -8.837921
   2.42146     -8.807338
   2.41141     -8.776326
   2.40135     -8.744857
   2.39130     -8.712944
   2.38125     -8.680605
   2.37119     -8.647828
   2.36114     -8.614637
   2.35108     -8.581028
   2.34103     -8.547015
   2.33097     -8.512590
   2.32092     -8.477760
   2.31087     -8.442549
   2.30081     -8.406956
   2.29076     -8.370992
   2.28070     -8.334664
   2.27065     -8.297984
   2.26059     -8.260962
   2.25054     -8.223611
   2.24049     -8.185942
   2.23043     -8.147970
   2.22038     -8.109708
   2.22038     -8.109708
   2.20971     -8.167120
   2.19905     -8.224138
   2.18839     -8.280748
   2.17772     -8.336933
   2.16706     -8.392678
   2.15639     -8.447971
   2.14573     -8.502797
   2.13506     -8.557144
   2.12440     -8.611001
   2.11374     -8.664356
   2.10307     -8.717208
   2.09241     -8.769527
   2.08174     -8.821314
   2.07108     -8.872569
   2.06042     -8.923259
   2.04975     -8.973395
   2.03909     -9.022964
   2.02842     -9.071976
   2.01776     -9.120389
   2.00710     -9.168217
   1.99643     -9.215464
   1.98577     -9.262094
   1.97510     -9.308117
   1.96444     -9.353541
   1.95378     -9.398329
   1.94311     -9.442488
   1.93245     -9.486021
   1.92178     -9.528918
   1.91112     -9.571175
   1.90045     -9.612786
   1.88979     -9.653749
   1.87913     -9.694057
   1.86846     -9.733708
   1.85780     -9.772712
   1.84713     -9.811036
   1.83647     -9.848690
   1.82581     -9.885684
   1.81514     -9.921990
   1.80448     -9.957617
   1.79381     -9.992561
   1.78315    -10.026808
   1.77249    -10.060379
   1.76182    -10.093265
   1.75116    -10.125454
   1.74049    -10.156944
   1.72983    -10.187736
   1.71916    -10.217840
   1.70850    -10.247231
   1.69784    -10.275917
   1.68717    -10.303896
   1.67651    -10.331166
   1.66584    -10.357725
   1.65518    -10.383570
   1.64452    -10.408701
   1.63385    -10.433116
   1.62319    -10.456813
   1.61252    -10.479791
   1.60186    -10.502048
   1.59120    -10.523582
   1.58053    -10.544394
   1.56987    -10.564481
   1.55920    -10.583843
   1.54854    -10.602478
   1.53787    -10.620410
   1.52721    -10.637590
   1.51655    -10.654039
   1.50588    -10.611433
   1.49522    -10.568519
   1.48455    -10.525407
   1.47389    -10.482113
   1.46323    -10.438669
   1.45256    -10.395119
   1.44190    -10.351513
   1.43123    -10.307903
   1.42057    -10.264351
   1.40991    -10.220920
   1.39924    -10.177676
   1.38858    -10.134677
   1.37791    -10.092057
   1.36725    -10.049852
   1.35658    -10.008176
   1.34592     -9.967133
   1.33526     -9.926837
   1.32459     -9.887410
   1.31393     -9.848982
   1.30326     -9.811698
   1.29260     -9.775704
   1.28194     -9.741143
   1.27127     -9.757976
   1.26061     -9.774674
   1.24994     -9.791212
   1.23928     -9.807589
   1.22862     -9.823780
   1.21795     -9.839767
   1.20729     -9.855534
   1.19662     -9.871073
   1.18596     -9.886354
   1.17529     -9.901368
   1.16463     -9.916090
   1.16463     -9.916090
   1.16108     -9.920943
   1.15752     -9.925756
   1.15397     -9.930535
   1.15041     -9.935279
   1.14686     -9.939989
   1.14330     -9.944663
   1.13975     -9.949302
   1.13619     -9.953905
   1.13264     -9.958470
   1.12908     -9.962999
   1.12553     -9.967489
   1.12197     -9.971941
   1.11842     -9.976354
   1.11486     -9.980729
   1.11131     -9.985061
   1.10776     -9.989356
   1.10420     -9.993611
   1.10065     -9.997824
   1.09709    -10.001997
   1.09354    -10.006131
   1.08998    -10.010202
   1.08643    -10.014249
   1.08287    -10.018253
   1.07932    -10.022213
   1.07576    -10.026137
   1.07221    -10.030010
   1.06865    -10.033839
   1.06510    -10.037623
   1.06154    -10.041362
   1.05799    -10.045056
   1.05443    -10.048704
   1.05088    -10.052306
   1.04733    -10.055861
   1.04377    -10.059367
   1.04022    -10.062829
   1.03666    -10.066243
   1.03311    -10.069610
   1.02955    -10.072929
   1.02600    -10.076200
   1.02244    -10.079422
   1.01889    -10.082596
   1.01533    -10.085721
   1.01178    -10.088796
   1.00822    -10.091818
   1.00467    -10.094793
   1.00111    -10.097718
   0.99756    -10.100593
   0.99400    -10.103417
   0.99045    -10.106190
